Dates,ActualPrice,MultiPredictPrice,PredictPrice
2017-12-22,13308.873,15531.755,17303.049
2017-12-23,14739.025,12655.919,14490.723
2017-12-24,13505.082,14596.603,16163.596
2017-12-25,13876.408,13379.696,14719.51
2017-12-26,15430.788,13828.532,15153.146
2017-12-27,15631.38,15300.099,16976.648
2017-12-28,14390.881,15486.541,17212.809
2017-12-29,14653.689,14162.286,15755.299
2017-12-30,13213.84,14557.061,16063.456
2017-12-31,13423.984,13038.6,14380.003
2018-01-01,13678.634,13386.02,14624.917
2018-01-02,14143.297,13643.03,14922.079
2018-01-03,15097.477,14045.41,15465.334
2018-01-04,14942.577,15037.201,16584.617
2018-01-05,16002.055,14824.569,16402.604
2018-01-06,16683.674,15856.684,17649.645
2018-01-07,16426.22,16675.424,18454.225
2018-01-08,15056.557,16405.479,18150.145
2018-01-09,14889.394,14904.652,16536.521
2018-01-10,14176.064,14809.8125,16340.135
2018-01-11,13605.7295,14024.6455,15503.693
2018-01-12,13503.001,13583.667,14836.962
2018-01-13,14443.862,13595.406,14717.081
2018-01-14,13742.376,14487.582,15817.392
2018-01-15,13889.048,13694.549,14996.524
2018-01-16,11784.996,13770.047,15167.923
2018-01-17,10544.171,11286.54,12723.065
2018-01-18,11608.408,10022.546,11297.666
2018-01-19,11567.699,11254.471,12519.391
2018-01-20,12518.684,11335.954,12472.473
2018-01-21,11848.305,12314.83,13571.981
2018-01-22,10927.275,11660.277,12796.15
2018-01-23,10796.374,10718.017,11736.281
2018-01-24,11044.395,10590.527,11586.26
2018-01-25,11288.53,10877.986,11870.641
2018-01-26,10914.887,11102.179,12151.114
2018-01-27,11278.724,10578.703,11722.076
2018-01-28,11619.862,11027.192,12139.839
2018-01-29,11260.031,11363.472,12532.591
2018-01-30,10360.197,11077.897,12118.346
2018-01-31,9927.952,9882.634,11087.534
2018-02-01,9237.323,9556.2705,10595.14
2018-02-02,8458.504,8606.094,9812.43
2018-02-03,8900.309,7692.4253,8936.1045
2018-02-04,8424.709,8584.331,9432.369
2018-02-05,7313.091,8114.7017,8898.239
2018-02-06,6777.57,6548.3843,7660.5493
2018-02-07,7904.2603,5681.149,7069.999
2018-02-08,8201.635,7312.076,8316.837
2018-02-09,8277.986,7783.7837,8648.634
2018-02-10,8624.505,7880.4785,8733.998
2018-02-11,8168.5215,8214.872,9122.302
2018-02-12,8652.141,7853.516,8611.634
2018-02-13,8616.905,8349.405,9153.331
2018-02-14,9117.3,8368.25,9113.77
2018-02-15,9858.177,8819.784,9676.929
2018-02-16,10035.891,9449.859,10515.833
2018-02-17,10702.2,9764.798,10717.923
2018-02-18,10753.565,10385.487,11478.428
2018-02-19,10939.927,10342.211,11537.231
2018-02-20,11483.636,10703.842,11750.788
2018-02-21,10754.959,11039.815,12375.635
2018-02-22,10215.421,10045.125,11538.826
2018-02-23,9995.464,9563.821,10922.401
2018-02-24,9897.85,9503.921,10671.923
2018-02-25,9568.034,9492.029,10560.92
2018-02-26,9994.703,9267.148,10186.6
2018-02-27,10589.216,9609.372,10671.058
2018-02-28,10615.588,10275.502,11349.168
2018-03-01,10671.654,10241.347,11379.327
2018-03-02,10977.068,10331.816,11443.469
2018-03-03,11357.539,10738.306,11793.39
2018-03-04,11259.642,11156.501,12230.488
2018-03-05,11527.061,11097.658,12117.899
2018-03-06,10947.286,11325.126,12425.652
2018-03-07,10126.276,10483.237,11759.2295
2018-03-08,9577.715,9452.411,10820.828
2018-03-09,8886.692,9080.973,10197.57
2018-03-10,9151.735,8034.809,9417.042
2018-03-11,9090.149,8706.391,9715.789
2018-03-12,9326.562,8512.477,9646.302
2018-03-13,9140.426,8774.143,9913.275
2018-03-14,8541.957,8693.134,9703.026
2018-03-15,8056.7046,7878.7686,9029.67
2018-03-16,8283.206,7387.126,8486.791
2018-03-17,8014.958,7831.53,8739.838
2018-03-18,7649.881,7586.833,8440.221
2018-03-19,8357.042,6950.858,8033.887
2018-03-20,8668.242,7766.6865,8822.46
2018-03-21,8951.889,8172.2964,9171.413
2018-03-22,8757.403,8533.442,9490.456
2018-03-23,8522.688,8370.069,9271.6
2018-03-24,8813.507,8158.6294,9008.059
2018-03-25,8519.951,8546.034,9334.689
2018-03-26,8136.4263,8283.6455,9004.99
2018-03-27,7945.4556,7761.813,8575.784
2018-03-28,7918.522,7575.682,8362.735
2018-03-29,7371.642,7669.322,8332.724
2018-03-30,6855.752,6591.3433,7725.347
2018-03-31,6996.726,6125.1333,7155.974
2018-04-01,6683.8457,6682.396,7311.2095
2018-04-02,6983.26,6255.1206,6967.0444
2018-04-03,7343.2275,6698.281,7296.3677
2018-04-04,7020.551,7014.8994,7693.896
2018-04-05,6737.6333,6643.6724,7337.4697
2018-04-06,6627.394,6378.408,7026.1147
2018-04-07,6894.375,6377.276,6905.092
2018-04-08,6993.193,6656.3677,7198.4766
2018-04-09,6844.3447,6810.0923,7307.3145
2018-04-10,6780.156,6515.3403,7143.4243
2018-04-11,6887.136,6586.0825,7072.843
2018-04-12,7542.264,6712.6455,7190.5093
2018-04-13,8001.035,6999.4883,7914.4326
2018-04-14,8023.483,7611.344,8424.693
2018-04-15,8265.385,7823.2925,8449.729
2018-04-16,8092.0513,8093.2397,8719.905
2018-04-17,8020.896,7864.3447,8526.238
2018-04-18,8075.48,7815.226,8446.844
2018-04-19,8216.287,7858.079,8507.742
